"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
0,0,385687,Fast X,2023-05-17,"['Action', 'Crime', 'Thriller']",English,7.4,1347,8363.473,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ev...",340000000,"['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']",652000000,142,The end of the road begins.,312000000
1,1,603692,John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,2896,4210.313,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliance...",90000000,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg']",431769198,170,"No way back, one way out.",341769198
2,2,502356,The Super Mario Bros. Movie,2023-04-05,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",English,7.8,4628,3394.458,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are ...",100000000,"['Universal Pictures', 'Illumination', 'Nintendo']",1308766975,92,NaN,1208766975
3,3,569094,Spider-Man: Across the Spider-Verse,2023-05-31,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.8,1160,2859.047,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged...",100000000,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",313522201,140,It's how you wear the mask that matters,213522201
5,5,667538,Transformers: Rise of the Beasts,2023-06-06,"['Action', 'Adventure', 'Science Fiction']",English,7.4,195,2453.807,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in t...",200000000,"['Skydance', 'Paramount', 'di Bonaventura Pictures', 'Bay Films', 'New Republic Pictures', 'Tom DeSanto/Don Murphy Production', 'Hasbro']",171045464,127,Unite or fall.,-28954536
7,7,447277,The Little Mermaid,2023-05-18,"['Adventure', 'Family', 'Fantasy', 'Romance']",English,6.2,616,1448.640,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With ...",250000000,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",414000000,135,"Watch and you'll see, some day I'll be, part of your world!",164000000
8,8,76600,Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,8493,1344.884,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each othe...",460000000,"['20th Century Studios', 'Lightstorm Entertainment']",2320250281,192,Return to Pandora.,1860250281
9,9,713704,Evil Dead Rise,2023-04-12,"['Thriller', 'Horror']",English,7.1,1597,1285.781,Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the m...,15000000,"['New Line Cinema', 'Ghost House Pictures', 'Renaissance Pictures', 'Pacific Renaissance Pictures', 'Wild Atlantic Pictures']",141512122,96,Mommy loves you to death.,126512122
10,10,1018494,Operation Seawolf,2022-10-07,"['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']",English,6.0,41,1269.136,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining...",15000,['Relis Pic'],23000,86,Last mission to win this war.,8000
11,11,447365,Guardians of the Galaxy Vol. 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.1,1932,1262.366,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, cou...",250000000,"['Marvel Studios', 'Kevin Feige Productions']",805801000,150,Once more with feeling.,555801000
13,13,640146,Ant-Man and the Wasp: Quantumania,2023-02-15,"['Action', 'Adventure', 'Science Fiction']",English,6.5,3229,1167.790,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interac...",200000000,"['Marvel Studios', 'Kevin Feige Productions']",475766228,125,Witness the beginning of a new dynasty.,275766228
14,14,840326,Sisu,2023-01-27,"['Action', 'War']",Finnish,7.4,656,1146.052,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wildernes...",6200000,"['Subzero Film Entertainment', 'Good Chaos', 'Stage 6 Films']",10568631,91,Vengeance is golden.,4368631
16,16,758323,The Pope's Exorcist,2023-04-05,"['Horror', 'Thriller']",English,7.2,1375,1037.514,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep ...",18000000,"['Screen Gems', '2.0 Entertainment', 'Jesus & Mary', 'Worldwide Katz', 'Loyola Productions', 'FFILME.RO']",70204828,103,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",52204828
22,22,882569,Guy Ritchie's The Covenant,2023-04-19,"['War', 'Action', 'Thriller']",English,7.7,514,917.907,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",55000000,"['STX Films', 'Toff Guy Films']",17100000,123,A bond. A pledge. A commitment.,-37900000
24,24,324857,Spider-Man: Into the Spider-Verse,2018-12-06,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.4,13081,914.969,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported...",90000000,"['Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Arad Productions']",375464627,117,More than one wears the mask.,285464627
25,25,594767,Shazam! Fury of the Gods,2023-03-15,"['Comedy', 'Action', 'Fantasy']",English,6.7,1931,829.516,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapo...",125000000,"['New Line Cinema', 'The Safran Company', 'DC Films']",133437105,130,Oh. My. Gods.,8437105
26,26,677179,Creed III,2023-03-01,"['Drama', 'Action']",English,7.3,1563,778.998,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a...",75000000,"['Metro-Goldwyn-Mayer', 'Proximity Media', 'Balboa Productions', 'Outlier Society Productions', 'Chartoff-Winkler Productions']",269000000,116,You can't run from your past.,194000000
32,32,315162,Puss in Boots: The Last Wish,2022-12-07,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy']",English,8.3,5713,640.924,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to f...",90000000,"['DreamWorks Animation', 'Universal Pictures']",480000000,103,Say hola to his little friends.,390000000
34,34,842675,The Wandering Earth II,2023-01-22,"['Science Fiction', 'Action', 'Drama']",Chinese,7.3,265,610.062,A prequel to The Wandering Earth.,73801827,"['China Film Group Corporation', 'Guo Fan Culture and Media']",604380922,173,NaN,530579095
39,39,934433,Scream VI,2023-03-08,"['Horror', 'Mystery', 'Thriller']",English,7.3,1354,556.578,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",35000000,"['Radio Silence', 'Project X Entertainment', 'Spyglass Media Group', 'Paramount']",168541093,123,New York. New rules.,133541093
46,46,634649,Spider-Man: No Way Home,2021-12-15,"['Action', 'Adventure', 'Science Fiction']",English,8.0,17545,448.664,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous,...",200000000,"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",1921847111,148,The Multiverse unleashed.,1721847111
49,49,91314,Transformers: Age of Extinction,2014-06-25,"['Science Fiction', 'Action', 'Adventure']",English,5.9,7359,424.422,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of power...",210000000,"['di Bonaventura Pictures', 'Tom DeSanto/Don Murphy Production', 'Ian Bryce Productions', 'Paramount']",1104054072,165,"This is not war, it's extinction.",894054072
50,50,505642,Black Panther: Wakanda Forever,2022-11-09,"['Action', 'Adventure', 'Science Fiction']",English,7.2,4978,422.445,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their ...",250000000,['Marvel Studios'],859102154,162,Forever.,609102154
51,51,436270,Black Adam,2022-10-19,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",English,7.1,5044,420.680,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of...",200000000,"['New Line Cinema', 'Flynn Picture Company', 'DC Films', 'Seven Bucks Productions']",393252111,124,The world needed a hero. It got Black Adam.,193252111
53,53,493529,Dungeons & Dragons: Honor Among Thieves,2023-03-23,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,1661,409.568,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",151000000,"['Entertainment One', 'Paramount', 'Allspark Pictures', 'Sierra/Affinity']",208177026,134,No experience necessary.,57177026
58,58,8869,Eight Legged Freaks,2002-07-17,"['Action', 'Comedy', 'Horror', 'Thriller']",English,5.7,1059,346.156,The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chri...,30000000,"['Centropolis Entertainment', 'Village Roadshow Pictures', 'NPV Entertainment', 'Electric Entertainment', 'Warner Bros. Pictures']",45867333,99,Do you hate spiders? Do you really hate spiders? Well they don't like you either.,15867333
60,60,816904,Mummies,2023-01-05,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",Spanish,7.2,312,332.645,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by amb...",12300000,"['Warner Bros. Entertainment España', '4 Cats Pictures', 'Moomios Movie AIE', 'Anangu Grup SL', 'C.O.R.E. Feature Animation', 'Atresmedia']",34200000,88,Discover a new world.,21900000
63,63,649609,Renfield,2023-04-07,"['Comedy', 'Horror', 'Fantasy']",English,6.8,634,328.349,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Q...",65000000,"['Skybound Entertainment', 'Universal Pictures', 'Giant Wildcat', 'dentsu']",24187819,93,Sucks to be him.,-40812181
64,64,335988,Transformers: The Last Knight,2017-06-16,"['Action', 'Adventure', 'Science Fiction']",English,6.1,5548,327.288,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers...",217000000,"['Paramount', 'di Bonaventura Pictures', 'Ian Bryce Productions', 'Tom DeSanto/Don Murphy Production']",605425157,154,"For one world to live, the other must die.",388425157
70,70,804150,Cocaine Bear,2023-02-22,"['Thriller', 'Comedy', 'Crime']",English,6.3,1166,314.758,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingest...",32500000,"['Universal Pictures', 'Brownstone Productions', 'Lord Miller']",89020092,96,Get in line.,56520092
76,76,536554,M3GAN,2022-12-28,"['Science Fiction', 'Horror']",English,7.3,2747,283.293,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming wor...",12000000,"['Atomic Monster', 'Blumhouse Productions', 'Divide / Conquer', 'Universal Pictures']",176830912,102,Friendship has evolved.,164830912
80,80,980078,Winnie the Pooh: Blood and Honey,2023-01-27,"['Horror', 'Thriller']",English,5.7,638,263.920,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",100000,"['Jagged Edge Productions', 'ITN Studios']",5200000,84,This ain't no bedtime story.,5100000
81,81,646389,Plane,2023-01-12,"['Action', 'Adventure', 'Thriller']",English,6.9,1305,256.751,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its pass...",25000000,"['MadRiver Pictures', 'di Bonaventura Pictures', 'G-BASE', 'Olive Hill Media', 'Riverstone Pictures']",51000000,107,Survive together or die alone.,26000000
82,82,19995,Avatar,2009-12-15,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",English,7.6,29219,250.238,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",237000000,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']",2923706026,162,Enter the world of Pandora.,2686706026
85,85,10144,The Little Mermaid,1989-11-17,"['Animation', 'Family', 'Fantasy']",English,7.4,7109,243.272,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him...,40000000,"['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']",211343479,83,Somewhere under the sea and beyond your imagination is an adventure in fantasy.,171343479
86,86,700391,65,2023-03-02,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",English,6.2,1205,242.493,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike thr...",45000000,"['Raimi Productions', 'Beck/Woods', 'Bron Studios', 'Columbia Pictures', 'TSG Entertainment', 'Creative Wealth Media Finance']",55000000,92,"65 million years ago, prehistoric Earth had a visitor.",10000000
87,87,985939,Fall,2022-08-11,['Thriller'],English,7.3,2932,235.862,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves strand...",3000000,"['Tea Shop Productions', 'Capstone Pictures', 'BuzzFeed Studios']",16120263,107,Fear reaches new heights.,13120263
88,88,809787,Mafia Mamma,2023-04-13,"['Crime', 'Comedy']",English,6.7,60,235.858,"A suburban American woman inherits her grandfather’s Mafia empire and, guided by the Firm’s trusted consigliere, defies everyone’s expectations, including her own, as the new head of the family bu...",41000000,"['Idea(L)', 'Vocab Films', 'New Sparta Films', 'Ingenious Media', 'Lipsync Productions', 'Cornerstone Films']",3902761,101,From suburban Mom to mafia Don.,-37097239
94,94,663712,Terrifier 2,2022-10-06,"['Horror', 'Thriller']",English,6.9,1236,226.935,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body coun...",250000,"['Dark Age Cinema', 'Fuzz on the Lens Productions', 'Bloody Disgusting']",12400000,138,Who's laughing now?,12150000
97,97,507086,Jurassic World Dominion,2022-06-01,"['Adventure', 'Action', 'Science Fiction']",English,6.8,4908,222.767,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether h...",165000000,"['Amblin Entertainment', 'Universal Pictures']",1001978080,147,The epic conclusion of the Jurassic era.,836978080
98,98,675353,Sonic the Hedgehog 2,2022-04-08,"['Action', 'Adventure', 'Family', 'Comedy']",English,7.6,3989,221.257,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an em...",110000000,"['Original Film', 'Blur Studio', 'Marza Animation Planet', 'Paramount', 'SEGA']",402656846,122,Welcome to the next level.,292656846
99,99,631842,Knock at the Cabin,2023-02-01,"['Horror', 'Thriller', 'Mystery']",English,6.4,1535,220.998,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With ...",20000000,"['Blinding Edge Pictures', 'Universal Pictures', 'FilmNation Entertainment', 'Wishmore', 'Perfect World Pictures', 'dentsu']",54708659,100,Save your family or save humanity. Make the choice.,34708659
100,100,361743,Top Gun: Maverick,2022-05-24,"['Action', 'Drama']",English,8.3,6965,220.473,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment o...",170000000,"['Skydance', 'Don Simpson/Jerry Bruckheimer Films', 'Paramount']",1488732821,131,Feel the need... The need for speed.,1318732821
103,103,616037,Thor: Love and Thunder,2022-07-06,"['Fantasy', 'Action', 'Comedy']",English,6.6,6075,216.585,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Fo...",250000000,"['Marvel Studios', 'Kevin Feige Productions']",760928081,119,The one is not the only.,510928081
106,106,785084,The Whale,2022-12-09,['Drama'],English,8.0,2448,213.494,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,3000000,"['A24', 'Protozoa Pictures']",55101305,116,NaN,52101305
107,107,283995,Guardians of the Galaxy Vol. 2,2017-04-19,"['Science Fiction', 'Adventure', 'Action', 'Comedy']",English,7.6,19898,206.760,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,200000000,['Marvel Studios'],863756051,137,Obviously.,663756051
108,108,668482,Roald Dahl's Matilda the Musical,2022-11-25,"['Family', 'Comedy', 'Fantasy']",English,6.8,581,203.655,"An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standi...",25000000,"['Working Title Films', 'The Roald Dahl Story Company']",13276499,117,Meet the exception to the rules.,-11723501
112,112,724495,The Woman King,2022-09-16,"['Action', 'Drama', 'History']",English,7.8,1542,199.915,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General...",50000000,"['TriStar Pictures', 'JuVee Productions', 'Jack Blue Productions', 'Entertainment One', 'Welle Entertainment']",91000000,135,Her reign begins.,41000000
118,118,381284,Hidden Figures,2016-12-10,"['Drama', 'History']",English,8.1,8699,192.580,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in his...",25000000,"['Fox 2000 Pictures', 'Levantine Films', 'Chernin Entertainment']",235956898,127,"Meet the women you don't know, behind the mission you do.",210956898
121,121,453395,Doctor Strange in the Multiverse of Madness,2022-05-04,"['Fantasy', 'Action', 'Adventure']",English,7.4,7544,189.332,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",200000000,"['Marvel Studios', 'Kevin Feige Productions']",952224986,126,Enter a new dimension of Strange.,752224986
123,123,568124,Encanto,2021-10-13,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.6,8270,186.503,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic o...",50000000,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",253000000,102,There's a little magic in all of us ...almost all of us.,203000000
124,124,508947,Turning Red,2022-03-10,"['Animation', 'Family', 'Comedy', 'Fantasy']",English,7.5,4230,184.041,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",190000000,"['Walt Disney Pictures', 'Pixar']",18879922,100,Growing up is a beast.,-171120078
125,125,414906,The Batman,2022-03-01,"['Crime', 'Mystery', 'Thriller']",English,7.7,8063,183.459,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",185000000,"['6th & Idaho', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']",770945583,177,Unmask the truth.,585945583
127,127,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,"['Adventure', 'Family', 'Fantasy']",English,7.1,9580,181.661,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter...",180000000,"['Walt Disney Pictures', 'Walden Media', 'C.S. Lewis Company']",745013115,143,Evil Has Reigned For 100 Years...,565013115
129,129,299536,Avengers: Infinity War,2018-04-25,"['Adventure', 'Action', 'Science Fiction']",English,8.3,27040,180.250,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of interg...",300000000,['Marvel Studios'],2052415039,149,An entire universe. Once and for all.,1752415039
134,134,758336,Love Again,2023-05-04,"['Romance', 'Drama', 'Comedy']",English,6.3,61,177.350,"Mira Ray, dealing with the loss of her fiancé, sends a series of romantic texts to his old cell phone number… not realizing the number was reassigned to Rob Burns' new work phone. A journalist, Ro...",9000000,"['Screen Gems', 'Thunder Road', '2.0 Entertainment']",10000000,104,Destiny has a plan.,1000000
137,137,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",Japanese,8.3,3198,175.944,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Trai...",15800000,"['ufotable', 'Aniplex', 'Shueisha', 'STUDIO MAUSU', 'TOHO']",503063688,117,"With your blade, bring an end to the nightmare.",487263688
139,139,385128,F9,2021-05-19,"['Action', 'Adventure', 'Crime']",English,7.2,6426,172.075,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,200000000,"['Original Film', 'One Race', 'Perfect Storm Entertainment', 'Universal Pictures', 'Roth-Kirschenbaum Films']",726229501,143,Justice is coming.,526229501
140,140,438148,Minions: The Rise of Gru,2022-06-29,"['Animation', 'Comedy', 'Family']",English,7.4,2878,171.906,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",85000000,"['Universal Pictures', 'Illumination']",939628210,87,A villain will rise.,854628210
142,142,682507,Where the Crawdads Sing,2022-07-15,"['Mystery', 'Drama', 'Thriller']",English,7.6,1141,171.364,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law e...",24000000,"['3000 Pictures', 'Hello Sunshine', 'TSG Entertainment', 'Columbia Pictures']",127000000,125,Secrets are buried just beneath the surface.,103000000
144,144,384018,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,"['Action', 'Adventure', 'Comedy']",English,6.9,6428,169.880,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixt...",200000000,"['Chris Morgan Productions', 'Seven Bucks Productions', 'Universal Pictures']",760098996,137,Nothing is stronger than family.,560098996
145,145,676710,The Amazing Maurice,2022-12-16,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,6.9,84,168.888,"Maurice is a streetwise ginger cat who comes up with a money-making scam by befriending a group of self-taught talking rats. When Maurice and the rodents meet a bookworm called Malicia, their litt...",17000000,"['Ulysses Filmproduktion', 'Cantilever Media', 'Filmförderung Hamburg Schleswig-Holstein', 'MEDIA sub-programme of Creative Europe', 'FFA', 'Narrativia', 'Studio Rakete', 'Squeeze', 'Red Star 3D',...",3901839,93,A furry tale about me.,-13098161
150,150,102382,The Amazing Spider-Man 2,2014-04-16,"['Action', 'Adventure', 'Fantasy']",English,6.5,12057,163.998,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has n...",200000000,"['Marvel Entertainment', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",708962323,141,No more secrets.,508962323
151,151,265712,Stand by Me Doraemon,2014-08-08,"['Animation', 'Family', 'Science Fiction', 'Fantasy']",Japanese,7.3,438,163.755,Sewashi and Doraemon find themselves way back in time and meet Nobita. It is up to Doraemon to take care of Nobita or else he will not return to the present.,35000000,"['TOHO', 'Shirogumi', 'Robot Communications', 'Shin-Ei Animation']",83061158,90,Is Doraemon ending this summer?,48061158
162,162,646385,Scream,2022-01-12,"['Horror', 'Mystery', 'Thriller']",English,6.7,2473,156.666,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets fr...",24000000,"['Paramount', 'Project X Entertainment', 'Radio Silence', 'Spyglass Media Group']",140041405,114,It's always someone you know.,116041405
163,163,296096,Me Before You,2016-06-01,"['Drama', 'Romance']",English,7.9,11180,156.663,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hir...",20000000,"['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer']",207945075,110,Live boldly.,187945075
164,164,324552,John Wick: Chapter 2,2017-02-08,"['Action', 'Thriller', 'Crime']",English,7.3,11644,155.842,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does ba...",40000000,"['Thunder Road', '87Eleven', 'Summit Entertainment']",171539887,122,Never stab the devil in the back.,131539887
167,167,458156,John Wick: Chapter 3 - Parabellum,2019-05-15,"['Action', 'Thriller', 'Crime']",English,7.4,9347,151.841,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, ...",55000000,"['Thunder Road', 'Lionsgate', '87Eleven']",326709727,131,Every action has consequences.,271709727
172,172,315635,Spider-Man: Homecoming,2017-07-05,"['Action', 'Adventure', 'Science Fiction', 'Drama']",English,7.3,20097,148.031,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, wit...",175000000,"['Marvel Studios', 'Pascal Pictures', 'LStar Capital']",880166924,133,Homework can wait. The city can't.,705166924
176,176,580489,Venom: Let There Be Carnage,2021-09-30,"['Science Fiction', 'Action', 'Adventure']",English,6.9,8853,144.388,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",110000000,"['Marvel Entertainment', 'Columbia Pictures', 'Pascal Pictures', 'Matt Tolmach Productions', 'Sony Pictures', 'Arad Productions']",506863592,97,NaN,396863592
177,177,671,Harry Potter and the Philosopher's Stone,2001-11-16,"['Adventure', 'Fantasy']",English,7.9,24858,144.113,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School...",125000000,"['Warner Bros. Pictures', 'Heyday Films', '1492 Pictures']",976475550,152,Let the magic begin.,851475550
178,178,168259,Furious 7,2015-04-01,"['Action', 'Thriller', 'Crime']",English,7.2,9800,143.622,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,190000000,"['Original Film', 'One Race', 'Universal Pictures']",1515341399,137,Vengeance hits home,1325341399
